Hours since 00:00 Jan 1,Total Electricity Consumption (10^7)
1275.5,113913988
1276.5,115753911
1277.5,119766065
1278.5,135016871
1279.5,124293944
1280.5,104785390
1281.5,82152771
1282.5,73375331
1283.5,51363188
1284.5,35347885
1285.5,28001201
1286.5,44514178
1287.5,57475619
1288.5,68597201
1289.5,102074589
1290.5,98663306
1291.5,99885653
1292.5,102598717
1293.5,105829942
1294.5,108380664
1295.5,108475025
1296.5,108228938
1297.5,110574657
1298.5,112592235
1299.5,120262227
1300.5,126699770
1301.5,135633742
1302.5,158509611
1303.5,164872257
1304.5,141338804
1305.5,134839472
1306.5,148396847
1307.5,112026360
1308.5,105012554
1309.5,106395561
1310.5,102396598
1311.5,107738926
1312.5,118519747
1313.5,155489159
1314.5,146036491
1315.5,145797056
1316.5,145732741
1317.5,147938996
1318.5,149130169
1319.5,149894042
1320.5,152379378
1321.5,154417558
1322.5,159444748
1323.5,163583284
1324.5,169303996
1325.5,175392574
1326.5,183604195
1327.5,184635293
1328.5,169203452
1329.5,144811064
1330.5,159532258
1331.5,127822313
1332.5,118507732
1333.5,111621834
1334.5,109456744
1335.5,118193157
1336.5,127943868
1337.5,168592356
1338.5,160078406
1339.5,161135866
1340.5,163308666
1341.5,167935271
1342.5,168466715
1343.5,167618090
1344.5,169829936
1345.5,177796551
1346.5,181979156
1347.5,188436907
1348.5,192629790
1349.5,204497993
1350.5,209545240
1351.5,208296236
1352.5,191399502
1353.5,164811215
1354.5,169988896
1355.5,123419590
1356.5,104641356
1357.5,91512026
1358.5,85174552
1359.5,89662785
1360.5,99982915
1361.5,145530471
1362.5,140578538
1363.5,143087957
1364.5,147911317
1365.5,150843684
1366.5,150610982
1367.5,147961285
1368.5,147487670
1369.5,150047517
1370.5,154581606
1371.5,157887129
1372.5,159919846
1373.5,164442215
1374.5,171518371
1375.5,172464555
1376.5,166671533
1377.5,157709753
1378.5,178829553
1379.5,153961153
1380.5,143840910
1381.5,138954716
1382.5,136298456
1383.5,137398787
1384.5,143991982
1385.5,180653012
1386.5,163813868
1387.5,164171471
1388.5,162015960
1389.5,163593008
1390.5,161415661
1391.5,157164692
1392.5,157133047
1393.5,161976460
1394.5,165709980
1395.5,168889670
1396.5,171964498
1397.5,177908913
1398.5,185315303
1399.5,186119156
1400.5,169071152
1401.5,143355196
1402.5,152622157
1403.5,113727316
1404.5,98112279
1405.5,84644972
1406.5,79338311
1407.5,81376095
1408.5,89687090
1409.5,131072352
1410.5,121904965
1411.5,125942846
1412.5,129614326
1413.5,135339098
1414.5,139852804
1415.5,144785580
1416.5,149545739
1417.5,157788359
1418.5,166605850
1419.5,175702770
1420.5,185693276
1421.5,197106393
1422.5,205282060
1423.5,205491000
1424.5,184211168
1425.5,160821272
1426.5,167610012
1427.5,123962774
1428.5,103822824
1429.5,88564684
1430.5,78660495
1431.5,83849632
1432.5,92648487
1433.5,126359147
1434.5,117722397
1435.5,123304961
1436.5,128237070
1437.5,133261151
1438.5,136925294
1439.5,138146492
1440.5,138604520
1441.5,142315267
1442.5,145478933
1443.5,148666096
1444.5,153121745
1445.5,159063914
1446.5,162710217
1447.5,164000193
1448.5,153619832
1449.5,127434113
1450.5,126636333
1451.5,94289272
1452.5,83018394
1453.5,77191300
1454.5,76621319
1455.5,76446537
1456.5,82849325
1457.5,106596123
1458.5,98021924
1459.5,99297413
1460.5,100525710
1461.5,99526550
1462.5,98264735
1463.5,98703432
1464.5,97652807
1465.5,100567342
1466.5,103750971
1467.5,104765595
1468.5,107850539
1469.5,113968131
1470.5,132557745
1471.5,124718741
1472.5,120574336
1473.5,113778249
1474.5,126603543
1475.5,101294186
1476.5,86723614
1477.5,75281567
1478.5,67221829
1479.5,66452984
1480.5,69206326
1481.5,96355838
1482.5,87964498
1483.5,91052480
1484.5,99363093
1485.5,105253405
1486.5,110461641
1487.5,112083050
1488.5,119613151
1489.5,135629956
1490.5,146245993
1491.5,159340301
1492.5,170890342
1493.5,181505873
1494.5,211015376
1495.5,221469732
1496.5,201266115
1497.5,185273095
1498.5,195273987
1499.5,155975998
1500.5,138299825
1501.5,121639662
1502.5,113544043
1503.5,115735926
1504.5,124204398
1505.5,162789597
1506.5,151617795
1507.5,155484983
1508.5,158745252
1509.5,163116632
1510.5,163074326
1511.5,163775724
1512.5,164089109
1513.5,171300352
1514.5,179718976
1515.5,185667831
1516.5,189228397
1517.5,191332481
1518.5,198322142
1519.5,201310451
1520.5,199763336
1521.5,184080319
1522.5,198529918
1523.5,151335999
1524.5,128057767
1525.5,123722417
1526.5,119786776
1527.5,121847628
1528.5,130140861
1529.5,166679021
1530.5,151766866
1531.5,149589827
1532.5,150707592
1533.5,152126845
1534.5,151771526
1535.5,150566811
1536.5,153153772
1537.5,154812465
1538.5,156297023
1539.5,156409609
1540.5,160379531
1541.5,165491083
1542.5,171849434
1543.5,189273276
1544.5,176182510
1545.5,170275254
1546.5,194845901
1547.5,170526231
1548.5,166995758
1549.5,160721826
1550.5,158507048
1551.5,160862110
1552.5,164033809
1553.5,199524842
1554.5,185383779
1555.5,189147785
1556.5,190158564
1557.5,192029729
1558.5,201753981
1559.5,199569106
1560.5,218602437
1561.5,234844421
1562.5,239501973
1563.5,244239600
1564.5,248029769
1565.5,257882324
1566.5,265748109
1567.5,261924534
1568.5,238186696
1569.5,213328163
1570.5,226086103
1571.5,174080361
1572.5,146876270
1573.5,128593075
1574.5,119064240
1575.5,118002586
1576.5,122355383
1577.5,160592988
1578.5,147713528
1579.5,151886643
1580.5,155102899
1581.5,159146018
1582.5,163065972
1583.5,163932570
1584.5,167287001
1585.5,170654818
1586.5,174772801
1587.5,180258758
1588.5,185302107
1589.5,190751968
1590.5,197456219
1591.5,194782977
1592.5,176693465
1593.5,152949368
1594.5,161377169
1595.5,114769889
1596.5,96007934
1597.5,81058618
1598.5,71689375
1599.5,71896848
1600.5,84767412
1601.5,122727681
1602.5,117994827
1603.5,119614705
1604.5,124831104
1605.5,130203965
1606.5,130924624
1607.5,132760296
1608.5,132993741
1609.5,134238204
1610.5,138304689
1611.5,142255745
1612.5,145754421
1613.5,152444603
1614.5,157145937
1615.5,153517069
1616.5,137858353
1617.5,122829508
1618.5,133880861
1619.5,104281487
1620.5,94335972
1621.5,87184844
1622.5,82371948
1623.5,83003301
1624.5,86129761
1625.5,116090996
1626.5,104926672
1627.5,104657439
1628.5,103700365
1629.5,102757987
1630.5,101993229
1631.5,102542426
1632.5,105091538
1633.5,109438536
1634.5,113416988
1635.5,118375021
1636.5,121681342
1637.5,126807315
1638.5,133999676
1639.5,136656361
1640.5,132054383
1641.5,127237621
1642.5,143470607
1643.5,113815234
1644.5,96566356
1645.5,81374197
1646.5,74205689
1647.5,72791760
1648.5,77628623
