Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)(10000000)
1280.5,44263200
1281.5,63283700
1282.5,57596000
1283.5,66758900
1284.5,59871300
1285.5,50820800
1286.5,54265600
1287.5,47172600
1288.5,12904400
1289.5,138477
1290.5,0
1291.5,0
1292.5,0
1293.5,0
1294.5,0
1295.5,0
1296.5,0
1297.5,0
1298.5,0
1299.5,0
1300.5,0
1301.5,0
1302.5,0
1303.5,13686800
1304.5,38295300
1305.5,54482200
1306.5,60921200
1307.5,76359400
1308.5,71228200
1309.5,66880000
1310.5,51663900
1311.5,46451900
1312.5,22869100
1313.5,645758
1314.5,0
1315.5,0
1316.5,0
1317.5,0
1318.5,0
1319.5,0
1320.5,0
1321.5,0
1322.5,0
1323.5,0
1324.5,0
1325.5,0
1326.5,0
1327.5,16544800
1328.5,41712000
1329.5,23091200
1330.5,52622000
1331.5,45724200
1332.5,64977700
1333.5,59079300
1334.5,39419500
1335.5,17978800
1336.5,2355030
1337.5,0
1338.5,0
1339.5,0
1340.5,0
1341.5,0
1342.5,0
1343.5,0
1344.5,0
1345.5,0
1346.5,0
1347.5,0
1348.5,0
1349.5,0
1350.5,0
1351.5,6784140
1352.5,42157100
1353.5,61136900
1354.5,74583500
1355.5,76359400
1356.5,76359400
1357.5,76359400
1358.5,65952300
1359.5,49076700
1360.5,24940700
1361.5,1104720
1362.5,0
1363.5,0
1364.5,0
1365.5,0
1366.5,0
1367.5,0
1368.5,0
1369.5,0
1370.5,0
1371.5,0
1372.5,0
1373.5,0
1374.5,0
1375.5,16846200
1376.5,41205600
1377.5,58788000
1378.5,70665000
1379.5,76359400
1380.5,68533100
1381.5,62314200
1382.5,56257100
1383.5,38591600
1384.5,6907290
1385.5,134121
1386.5,0
1387.5,0
1388.5,0
1389.5,0
1390.5,0
1391.5,0
1392.5,0
1393.5,0
1394.5,0
1395.5,0
1396.5,0
1397.5,0
1398.5,0
1399.5,247161
1400.5,1103460
1401.5,8421260
1402.5,11576900
1403.5,8861630
1404.5,5808540
1405.5,3078210
1406.5,5315310
1407.5,3641770
1408.5,1804600
1409.5,0
1410.5,0
1411.5,0
1412.5,0
1413.5,0
1414.5,0
1415.5,0
1416.5,0
1417.5,0
1418.5,0
1419.5,0
1420.5,0
1421.5,0
1422.5,0
1423.5,2952760
1424.5,7154870
1425.5,31047600
1426.5,39888900
1427.5,39784100
1428.5,47830000
1429.5,64366300
1430.5,42477900
1431.5,11750700
1432.5,8998140
1433.5,273709
1434.5,0
1435.5,0
1436.5,0
1437.5,0
1438.5,0
1439.5,0
1440.5,0
1441.5,0
1442.5,0
1443.5,0
1444.5,0
1445.5,0
1446.5,0
1447.5,428570
1448.5,2060500
1449.5,4663810
1450.5,12103600
1451.5,7588690
1452.5,13497200
1453.5,21369600
1454.5,9699410
1455.5,8135110
1456.5,3266650
1457.5,50218.7
1458.5,0
1459.5,0
1460.5,0
1461.5,0
1462.5,0
1463.5,0
1464.5,0
1465.5,0
1466.5,0
1467.5,0
1468.5,0
1469.5,0
1470.5,0
1471.5,20885400
1472.5,48701300
1473.5,69782600
1474.5,76359400
1475.5,76359400
1476.5,76359400
1477.5,76359400
1478.5,73446800
1479.5,54313800
1480.5,28701300
1481.5,2174600
1482.5,0
1483.5,0
1484.5,0
1485.5,0
1486.5,0
1487.5,0
1488.5,0
1489.5,0
1490.5,0
1491.5,0
1492.5,0
1493.5,0
1494.5,0
1495.5,21281200
1496.5,48434600
1497.5,68235900
1498.5,76359400
1499.5,864490
1500.5,76359400
1501.5,76359400
1502.5,70676200
1503.5,51880400
1504.5,27304100
1505.5,2124660
1506.5,0
1507.5,0
1508.5,0
1509.5,0
1510.5,0
1511.5,0
1512.5,0
1513.5,0
1514.5,0
1515.5,0
1516.5,0
1517.5,0
1518.5,0
1519.5,20403300
1520.5,45711900
1521.5,65012200
1522.5,76359400
1523.5,76359400
